XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount
2.9,187.9795702,187.9795702,17.1,139.0,0.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9,326.11676108,326.11676108,81.6,598.0,0.0,2.0,3.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1,347.0340654,347.0340654,111.0,440.0,0.0,3.0,4.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.1,341.152812238,341.152812238,50.8,449.0,0.0,1.0,3.0,6.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2.7,471.0880363,471.0880363,162.0,683.0,0.0,3.0,9.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.5,361.08849790,361.08849790,102.0,486.0,0.0,3.0,4.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,289.09635999,289.09635999,83.6,411.0,0.0,2.0,4.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.7,366.1135055,366.1135055,62.2,426.0,0.0,2.0,3.0,6.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,283.08693812,283.08693812,79.8,369.0,0.0,2.0,5.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.3,186.9704025,186.9704025,41.6,139.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
